Quentin Tarantino	Django Unchained	2012
Vincent D'Onofrio	The Kid	2019
Jacques Audiard	Les frères Sisters	2018
John Carroll Lynch	Lucky	2017
Alex Cox	Tombstone-Rashomon	2017
Aki Aleong	Railroad to Hell: A Chinaman's Chance	2018
Emilio Aragón	A Night in Old Mexico	2013
Thomas Arslan	Gold	2013
Alan Autry	Forgiven	2011
Michael Barnett	Becoming Bulletproof	2014
Mario Becerra	La Leyenda Del Lobo Negro	2014
Nathan Blackwell	Western X	2016
Lee Brownstein	Out West	2013
Sophie Bruneau	Devil's Rope	2015
Pablo Brusa	Desertor	2019
Charles Robert Carner	JL Ranch	2016
Jon Cassar	Forsaken	2015
Enzo G. Castellari	Keoma Rises	2020
Wyeth Clarkson	The Mountie	2011
Scott Cooper	Hostiles	2017
Frank Coraci	The Ridiculous 6	2015
Juan Manuel Cotelo	El mayor regalo	2018
Glenn Danzig	Death Rider in the House of Vampires	2020
Kieran Darcy-Smith	The Duel	2016
David DeCoteau	Stranded	2014
Mariano Fernández	El Hijo de Dios	2016
Antoine Fuqua	The Magnificent Seven	2016
Richard Gabai	Justice	2017
Mateo Gil	Blackthorn	2011
Matthew Gratzner	Hot Bath an' a Stiff Drink	2014
Paul Greengrass	News of the World	2020
Greg Gricus	Wild Horse, Wild Ride	2011
Beto Gómez	Salvando al Soldado Pérez	2011
Szabolcs Hajdu	Délibáb	2014
Boris Jurjasevic	Sly Foxes	2017
Sofian Khan	Gaucho del Norte	2015
Jean-Claude La Marre	Gang of Roses II: Next Generation	2012
Po-Chih Leong	The Jade Pendant	2017
Kristian Levring	The Salvation	2014
Jorge Leyva	Mis demonios nunca juraron soledad	2017
Abraham Lim	Roads and Brides: Repaved	2016
Chris Mackey	Tombstones of the Blind Dead	2016
John Michael McDonagh	Calvary	2014
Patrick McGuinn	I, Scorpio	2014
Sean McNamara	JL Family Ranch 2	2020
Kent Meloy	Into the Sunset	2020
William F. Miller	Cowboy Spirit	2012
Monty Miranda	American Mustang	2013
Bob Misiorowski	Hardin	2015
Gavin O'Connor	Jane Got a Gun	2015
Fred Olen Ray	Hatfields and McCoys: Bad Blood	2012
Matt Piedmont	Casa de mi Padre	2012
Andreas Prochaska	Das finstere Tal	2014
Lise Raven	Kinderwald	2014
Josh Ridgway	Howlers	2019
Burke Roberts	Spindrift: Ghost of the West	2014
Tabajara Ruas	A Cabeça de Gumercindo Saraiva	2018
Tabajara Ruas	Os Senhores da Guerra 2 - Passo da Cruz	2014
Steven Rumbelow	Titus	2015
David Sabal	Western X	2016
Gaspar Scheuer	Samurai	2012
Taylor Sheridan	Those Who Wish Me Dead	2020
Breno Silveira	Entre Irmãs	2017
Alejandro Springall	Sonora	2018
Philipp Stölzl	Winnetou - Das Geheimnis vom Silbersee	2016
Philipp Stölzl	Winnetou - Der letzte Kampf	2016
